img,pred
1025794.jpg,0
0056978.jpg,76
0698580.jpg,72
1042824.jpg,0
1427680.jpg,57
0582363.jpg,0
0869722.jpg,57
0864665.jpg,55
0582372.jpg,76
0548719.jpg,57
0577855.jpg,76
1423583.jpg,70
0610657.jpg,0
0482761.jpg,76
0481847.jpg,57
1514481.jpg,0
0887066.jpg,57
1318819.jpg,0
0602177.jpg,57
1148180.jpg,0
1288661.jpg,0
0113201.jpg,87
0923884.jpg,57
0901498.jpg,90
0631897.jpg,57
0198101.jpg,0
1017179.jpg,0
0732410.jpg,90
0536721.jpg,57
1518652.jpg,90
0732456.jpg,1
0218039.jpg,92
0983618.jpg,92
0995286.jpg,92
1063986.jpg,82
0632010.jpg,57
0901504.jpg,1
1089989.jpg,92
0907359.jpg,34
0875281.jpg,92
0786258.jpg,92
1512865.jpg,92
0523223.jpg,1
1115308.jpg,82
0994986.jpg,92
0193983.jpg,9
0275719.jpg,1
1188390.jpg,34
1862134.jpg,82
0345994.jpg,34
0063291.jpg,92
1298905.jpg,1
1446378.jpg,1
0689276.jpg,92
0582367.jpg,92
0907378.jpg,92
0994960.jpg,92
0699599.jpg,1
0356165.jpg,92
0063113.jpg,34
0740881.jpg,1
0314131.jpg,1
0745103.jpg,92
0075758.jpg,1
0901521.jpg,1
0875317.jpg,92
1036881.jpg,27
0048341.jpg,1
0822348.jpg,2
0847273.jpg,2
0923506.jpg,2
0059101.jpg,87
1548405.jpg,3
1094669.jpg,87
0198443.jpg,2
0247942.jpg,2
0564495.jpg,2
0826475.jpg,2
0065422.jpg,2
0054367.jpg,87
0337947.jpg,2
1143132.jpg,2
0789826.jpg,2
1942698.jpg,2
0447807.jpg,2
0074464.jpg,2
1296896.jpg,2
0056331.jpg,2
0523229.jpg,3
0497532.jpg,2
0091362.jpg,2
1115293.jpg,2
0853398.jpg,2
0536510.jpg,2
0894315.jpg,2
1351345.jpg,2
0061580.jpg,2
1514479.jpg,2
0981301.jpg,4
0815913.jpg,2
1296939.jpg,2
0147048.jpg,2
1899111.jpg,52
0069776.jpg,73
0569402.jpg,3
1538841.jpg,5
1323729.jpg,5
1393334.jpg,73
0907408.jpg,3
1396876.jpg,5
0492497.jpg,3
1691783.jpg,3
0278443.jpg,12
0090868.jpg,3
0986161.jpg,73
1879894.jpg,87
1564774.jpg,5
2115318.jpg,90
0687267.jpg,52
1251289.jpg,4
1560581.jpg,72
0848057.jpg,55
0061307.jpg,78
2046004.jpg,39
0706281.jpg,3
0062667.jpg,3
1258703.jpg,3
2127975.jpg,2
0965611.jpg,4
2031394.jpg,3
0547087.jpg,5
1852170.jpg,73
0517631.jpg,5
1018935.jpg,73
1146236.jpg,73
1222203.jpg,73
0438658.jpg,70
1846193.jpg,70
0420818.jpg,70
2186493.jpg,3
2117477.jpg,44
2031382.jpg,73
0242845.jpg,75
2026894.jpg,70
1059090.jpg,70
1398863.jpg,5
0302648.jpg,3
0987619.jpg,4
0122393.jpg,4
2066262.jpg,4
0328123.jpg,52
1933719.jpg,52
0740907.jpg,4
0933127.jpg,78
1527501.jpg,70
0939537.jpg,80
1966165.jpg,4
1245559.jpg,75
1474251.jpg,4
1235148.jpg,75
1017287.jpg,73
1884743.jpg,70
1876021.jpg,4
0649690.jpg,70
0923560.jpg,87
0487357.jpg,4
1779244.jpg,4
0768400.jpg,4
0562105.jpg,4
2190106.jpg,52
1758606.jpg,5
1264479.jpg,78
0723229.jpg,73
0706205.jpg,73
1459173.jpg,5
1818731.jpg,5
1627446.jpg,73
0807405.jpg,13
0097119.jpg,4
1543563.jpg,5
1337392.jpg,5
0225225.jpg,5
1053446.jpg,5
0130599.jpg,73
1543529.jpg,73
0977330.jpg,5
0942001.jpg,78
0894220.jpg,2
0151665.jpg,2
1973458.jpg,5
1749186.jpg,39
1691483.jpg,73
1891664.jpg,2
1602331.jpg,73
0445490.jpg,3
0201676.jpg,73
1033079.jpg,4
1563192.jpg,78
1377235.jpg,3
1570201.jpg,87
1051042.jpg,3
1852173.jpg,5
0434358.jpg,2
1251766.jpg,3
0944253.jpg,73
0817558.jpg,78
0928043.jpg,73
1650651.jpg,73
1823113.jpg,78
1401747.jpg,2
1726606.jpg,73
1615563.jpg,52
0731199.jpg,73
0784350.jpg,73
1283644.jpg,73
0467430.jpg,73
0745448.jpg,73
0702868.jpg,73
0842381.jpg,73
2188618.jpg,73
1973457.jpg,73
1861153.jpg,5
2091304.jpg,78
0961750.jpg,73
0904850.jpg,73
0361351.jpg,78
1117081.jpg,73
2080548.jpg,73
0905907.jpg,73
1885885.jpg,73
1259152.jpg,39
0442918.jpg,73
2101958.jpg,73
1730978.jpg,73
1773981.jpg,73
1718899.jpg,52
0721593.jpg,52
1759296.jpg,73
1852177.jpg,73
1165045.jpg,3
1845995.jpg,73
2063812.jpg,73
1304869.jpg,5
0383402.jpg,73
1549183.jpg,73
1650693.jpg,73
1908628.jpg,73
1747505.jpg,73
2044777.jpg,78
1016726.jpg,73
1280176.jpg,20
1215384.jpg,73
1313344.jpg,73
0800938.jpg,80
1229599.jpg,73
0796444.jpg,73
0959047.jpg,52
1524816.jpg,73
0956273.jpg,73
1687756.jpg,73
0562553.jpg,73
1358046.jpg,73
0428665.jpg,78
1908388.jpg,73
1225644.jpg,73
0973091.jpg,73
1400105.jpg,73
1648294.jpg,73
2123946.jpg,73
0907752.jpg,70
1401878.jpg,73
1060500.jpg,78
2219111.jpg,73
1222170.jpg,73
0400397.jpg,3
0694487.jpg,73
1503761.jpg,73
1774585.jpg,5
0357855.jpg,70
0956171.jpg,52
1611252.jpg,73
1084518.jpg,52
0984409.jpg,73
0701140.jpg,4
1498556.jpg,70
2188154.jpg,73
0183579.jpg,87
0067671.jpg,3
0067036.jpg,3
2211307.jpg,70
1121142.jpg,73
1368334.jpg,73
2184061.jpg,52
0337266.jpg,78
1846150.jpg,4
0382052.jpg,73
1763666.jpg,75
2030599.jpg,73
0798632.jpg,70
1244288.jpg,73
0497534.jpg,73
1446341.jpg,73
2236966.jpg,73
0957983.jpg,73
1143126.jpg,73
1818860.jpg,73
1358662.jpg,52
0622056.jpg,73
0523226.jpg,73
0288164.jpg,70
1727704.jpg,78
1315141.jpg,73
0097112.jpg,73
2071579.jpg,52
1846146.jpg,73
1718621.jpg,3
1979663.jpg,52
0731464.jpg,73
1173450.jpg,52
1319791.jpg,73
2203483.jpg,70
1603205.jpg,55
2235588.jpg,70
1054095.jpg,73
1428644.jpg,73
0209211.jpg,41
0780820.jpg,52
0229722.jpg,87
1691790.jpg,73
0361469.jpg,87
0490186.jpg,3
0447809.jpg,73
2201377.jpg,73
0697386.jpg,75
0842393.jpg,73
2224807.jpg,73
1266143.jpg,52
1569052.jpg,73
0257025.jpg,87
0788947.jpg,70
1852201.jpg,70
0713745.jpg,52
0422707.jpg,70
0443893.jpg,70
0706175.jpg,70
0988468.jpg,52
2099419.jpg,52
0781150.jpg,75
1913792.jpg,52
1043795.jpg,52
0977350.jpg,52
1561334.jpg,70
1390305.jpg,52
1692197.jpg,52
1237622.jpg,52
1385341.jpg,70
2122829.jpg,52
1470793.jpg,87
1136124.jpg,4
0081597.jpg,4
1712591.jpg,70
1885830.jpg,70
1320110.jpg,70
2137130.jpg,70
1806234.jpg,52
0900469.jpg,70
2002333.jpg,52
2239287.jpg,87
0710454.jpg,52
0694546.jpg,70
1375368.jpg,52
1594736.jpg,70
1598898.jpg,70
2236971.jpg,70
0097108.jpg,70
0875563.jpg,78
1244287.jpg,52
1603035.jpg,70
1236463.jpg,38
1285916.jpg,70
1190718.jpg,70
1573352.jpg,70
0188557.jpg,34
1637438.jpg,52
0395615.jpg,73
0274621.jpg,52
0944245.jpg,70
1662016.jpg,70
2021834.jpg,70
1252037.jpg,52
1067929.jpg,75
0428239.jpg,70
0684565.jpg,70
2124349.jpg,70
1545691.jpg,39
0740885.jpg,70
1146034.jpg,70
0957896.jpg,70
1036818.jpg,70
1398924.jpg,52
1338983.jpg,70
1987009.jpg,70
0302036.jpg,52
1663377.jpg,70
1818747.jpg,52
1016538.jpg,52
2071807.jpg,52
2047628.jpg,68
1910716.jpg,78
0722225.jpg,78
0292868.jpg,70
1874495.jpg,10
1313348.jpg,70
1476615.jpg,70
1052314.jpg,70
1921783.jpg,52
1353293.jpg,52
1001620.jpg,75
1639843.jpg,70
1361120.jpg,70
0641165.jpg,70
0200422.jpg,70
1189521.jpg,70
0383399.jpg,94
1774010.jpg,70
0840357.jpg,52
1471544.jpg,52
1246918.jpg,70
1948449.jpg,75
0443884.jpg,4
0723572.jpg,16
1582314.jpg,52
0522872.jpg,52
0476825.jpg,78
1133077.jpg,52
0223783.jpg,4
1842042.jpg,70
1326767.jpg,70
2195500.jpg,70
1456775.jpg,75
1339052.jpg,70
1748132.jpg,52
1906352.jpg,70
0273141.jpg,50
0437933.jpg,78
1526476.jpg,52
1884992.jpg,70
2169127.jpg,52
0192179.jpg,70
0179021.jpg,70
2089355.jpg,70
1429709.jpg,70
0864570.jpg,52
0936143.jpg,52
2002223.jpg,70
1521763.jpg,52
0276022.jpg,52
0311908.jpg,52
0221294.jpg,4
0331279.jpg,52
1106339.jpg,70
1918372.jpg,52
0227126.jpg,4
2215834.jpg,70
2233944.jpg,70
0727254.jpg,52
1018862.jpg,70
0671304.jpg,52
0732162.jpg,70
1718867.jpg,70
0837340.jpg,70
1008872.jpg,6
0092334.jpg,7
1009031.jpg,7
0688093.jpg,72
1831093.jpg,72
1707740.jpg,72
0606502.jpg,72
0730970.jpg,6
0962875.jpg,72
1251094.jpg,72
1145144.jpg,72
1842078.jpg,72
0147038.jpg,7
1283510.jpg,72
1281453.jpg,99
0993061.jpg,72
0064007.jpg,7
0713645.jpg,7
0147037.jpg,6
0685282.jpg,7
1340209.jpg,6
0540719.jpg,6
0796213.jpg,6
0074633.jpg,6
1281454.jpg,80
0792085.jpg,72
0944156.jpg,72
1014103.jpg,94
0179062.jpg,7
0880585.jpg,87
1688967.jpg,72
2226295.jpg,13
0989834.jpg,6
1486682.jpg,99
0928792.jpg,72
0744732.jpg,72
0821422.jpg,72
0151661.jpg,6
0885966.jpg,7
0447749.jpg,7
0476345.jpg,90
0786259.jpg,87
0487356.jpg,6
0365342.jpg,17
0368505.jpg,1
2230120.jpg,72
1825682.jpg,7
0457869.jpg,72
0065830.jpg,7
1038118.jpg,6
0719135.jpg,0
0771168.jpg,7
0447170.jpg,72
1031438.jpg,7
1291802.jpg,6
0233756.jpg,90
0454783.jpg,7
0429100.jpg,6
1341990.jpg,72
1137740.jpg,72
0045128.jpg,10
1094667.jpg,72
0963004.jpg,72
0195002.jpg,94
1891304.jpg,72
1233559.jpg,76
0522830.jpg,55
1099216.jpg,72
0963590.jpg,72
1365495.jpg,72
1879895.jpg,76
0098489.jpg,68
1097975.jpg,72
0454746.jpg,72
2147232.jpg,72
1259556.jpg,7
0487374.jpg,72
2221713.jpg,13
1202048.jpg,72
1325476.jpg,72
0090864.jpg,7
0894208.jpg,7
0367768.jpg,72
0766954.jpg,72
0876439.jpg,9
0983542.jpg,72
1356102.jpg,72
1284239.jpg,72
0336925.jpg,55
0939497.jpg,94
0785021.jpg,72
0065292.jpg,55
1389219.jpg,72
0859029.jpg,72
1387195.jpg,7
1398832.jpg,7
1226606.jpg,6
1828267.jpg,72
0744234.jpg,7
0950401.jpg,72
2218009.jpg,72
0476814.jpg,96
1132269.jpg,94
0980094.jpg,72
1616394.jpg,72
2148651.jpg,7
1256683.jpg,72
0788467.jpg,72
0856020.jpg,72
0574284.jpg,72
0681539.jpg,72
1169799.jpg,6
1292370.jpg,72
1544177.jpg,72
1895995.jpg,72
0167090.jpg,7
0179059.jpg,7
0458674.jpg,72
0562338.jpg,94
0980191.jpg,72
0710666.jpg,72
0981462.jpg,72
0271186.jpg,7
1623631.jpg,13
1206755.jpg,6
0447773.jpg,72
0181732.jpg,7
1695918.jpg,72
1149855.jpg,72
0569010.jpg,72
0114454.jpg,7
1094264.jpg,72
0167114.jpg,7
1566619.jpg,72
2244841.jpg,96
1256464.jpg,72
0425365.jpg,18
0492477.jpg,72
2221710.jpg,13
0056299.jpg,90
1600251.jpg,7
1098953.jpg,72
0983934.jpg,72
2222716.jpg,72
1358854.jpg,7
1143409.jpg,72
1700644.jpg,7
1018463.jpg,72
2047538.jpg,7
0442373.jpg,56
1146172.jpg,72
1514578.jpg,72
1469691.jpg,72
1997878.jpg,72
0766314.jpg,72
0650456.jpg,55
0367973.jpg,18
2079513.jpg,72
1088007.jpg,72
1376174.jpg,7
2091929.jpg,72
1309306.jpg,96
1928510.jpg,7
2197330.jpg,94
1541386.jpg,72
1539525.jpg,72
1515540.jpg,72
2217844.jpg,90
0964235.jpg,72
2131569.jpg,72
0574362.jpg,7
1960593.jpg,6
2021679.jpg,72
0888512.jpg,72
0065826.jpg,7
1767106.jpg,72
1506896.jpg,72
0491938.jpg,72
1662017.jpg,72
1305614.jpg,72
1204178.jpg,72
1709162.jpg,72
0098491.jpg,7
1790437.jpg,7
1395492.jpg,72
1212012.jpg,72
1603036.jpg,72
1200712.jpg,72
1550136.jpg,72
1173801.jpg,72
0678979.jpg,87
1233576.jpg,72
1942524.jpg,72
2211284.jpg,7
1891189.jpg,72
1139712.jpg,72
1291092.jpg,12
0127504.jpg,18
0539095.jpg,72
1553993.jpg,7
2224813.jpg,11
0273150.jpg,90
0685368.jpg,26
0523013.jpg,50
0814906.jpg,87
2067977.jpg,13
1713246.jpg,11
1945514.jpg,8
2170854.jpg,96
0923571.jpg,50
0838565.jpg,96
0765781.jpg,94
1107747.jpg,50
1155017.jpg,70
2013757.jpg,70
0694466.jpg,90
0458643.jpg,57
0788951.jpg,52
1018466.jpg,70
0851322.jpg,12
1471691.jpg,50
0169317.jpg,10
1493118.jpg,52
1824737.jpg,50
1207125.jpg,87
1547881.jpg,75
1663375.jpg,52
2188165.jpg,8
1741954.jpg,52
1917720.jpg,11
1175264.jpg,8
1723911.jpg,50
1415495.jpg,87
0715299.jpg,50
0496749.jpg,94
0478342.jpg,50
1767104.jpg,8
1534214.jpg,8
1650624.jpg,50
1146631.jpg,50
1910711.jpg,8
0138993.jpg,50
0447753.jpg,50
1647406.jpg,8
1004797.jpg,50
0328231.jpg,50
1256349.jpg,50
1810927.jpg,50
1944650.jpg,50
1297523.jpg,8
1316606.jpg,50
0977347.jpg,50
0313720.jpg,70
0482793.jpg,50
0442375.jpg,96
0469140.jpg,96
1150188.jpg,50
0662343.jpg,50
0428735.jpg,70
1771968.jpg,50
1564943.jpg,50
1156768.jpg,8
1486383.jpg,50
1298912.jpg,50
1629329.jpg,61
0361100.jpg,8
0507837.jpg,61
1345218.jpg,50
0330281.jpg,87
1313225.jpg,96
1834622.jpg,50
2147405.jpg,70
0839551.jpg,94
0924405.jpg,50
1398983.jpg,50
0985968.jpg,50
2099420.jpg,50
1204263.jpg,50
1221753.jpg,94
1279666.jpg,50
2020641.jpg,50
1307073.jpg,50
0313727.jpg,50
1017288.jpg,50
1334472.jpg,8
0467431.jpg,50
1213050.jpg,50
0781904.jpg,10
1261956.jpg,78
1981480.jpg,8
0903658.jpg,8
1122464.jpg,50
1277617.jpg,50
1255496.jpg,50
0187532.jpg,87
0924404.jpg,50
1295646.jpg,50
0443974.jpg,50
0658111.jpg,50
1486878.jpg,50
1703213.jpg,9
2200399.jpg,9
0197363.jpg,12
1383295.jpg,9
1390310.jpg,9
0494862.jpg,12
0179066.jpg,9
1862132.jpg,96
1182368.jpg,70
2197329.jpg,12
1631498.jpg,9
2213535.jpg,96
2132127.jpg,9
0117996.jpg,11
1413233.jpg,9
1382524.jpg,9
1860128.jpg,9
0908596.jpg,94
1222396.jpg,6
0709507.jpg,94
2248661.jpg,90
1291080.jpg,32
2124427.jpg,9
1657942.jpg,9
0908588.jpg,94
2232678.jpg,11
2244649.jpg,75
1313048.jpg,9
1389713.jpg,9
1521750.jpg,9
1004743.jpg,96
0127507.jpg,9
0668315.jpg,9
0191386.jpg,9
1379717.jpg,94
0936782.jpg,8
0478909.jpg,70
0171401.jpg,87
2239584.jpg,50
0679350.jpg,94
2029863.jpg,20
1327286.jpg,9
2217849.jpg,50
0716370.jpg,10
1601329.jpg,87
0362089.jpg,75
1018873.jpg,10
0067034.jpg,90
0481979.jpg,97
1901133.jpg,10
0068813.jpg,10
1910860.jpg,50
0907432.jpg,87
1838649.jpg,10
1605077.jpg,94
0498132.jpg,75
1237705.jpg,10
1531356.jpg,9
0182724.jpg,96
1223042.jpg,50
1211088.jpg,87
2188167.jpg,50
1611577.jpg,9
0956231.jpg,8
0870244.jpg,11
0962873.jpg,8
1294492.jpg,96
0501887.jpg,96
0988938.jpg,16
1518619.jpg,0
0688097.jpg,10
0182729.jpg,10
1708101.jpg,50
1294490.jpg,90
0127058.jpg,50
0552041.jpg,50
1165767.jpg,9
1810723.jpg,50
2026597.jpg,94
2205728.jpg,50
1368863.jpg,10
0837880.jpg,94
1741519.jpg,50
1336856.jpg,96
1182360.jpg,50
1031445.jpg,50
2004856.jpg,96
1980188.jpg,50
0835837.jpg,94
1476102.jpg,50
2215846.jpg,50
1006793.jpg,94
0931734.jpg,94
0768173.jpg,55
0476351.jpg,50
0151672.jpg,50
2083668.jpg,50
1582400.jpg,50
1607459.jpg,50
1740623.jpg,50
1913767.jpg,96
1976400.jpg,50
0338174.jpg,10
1546804.jpg,94
1027002.jpg,94
0936086.jpg,94
1353979.jpg,24
1486631.jpg,94
2263428.jpg,50
1097302.jpg,94
1790505.jpg,50
0192189.jpg,90
1345042.jpg,96
1613179.jpg,50
0870232.jpg,50
0846642.jpg,50
0981533.jpg,94
1993167.jpg,50
0176009.jpg,57
0496773.jpg,41
0498976.jpg,10
0558247.jpg,94
1521848.jpg,50
0248710.jpg,50
