img,pred
00163.jpg,45
00707.jpg,45
01277.jpg,45
02050.jpg,127
02848.jpg,127
03943.jpg,127
04544.jpg,45
04827.jpg,45
04874.jpg,45
05030.jpg,12
05657.jpg,45
06052.jpg,45
06262.jpg,45
07279.jpg,45
08011.jpg,45
00198.jpg,144
00255.jpg,55
00308.jpg,143
00374.jpg,31
00878.jpg,143
00898.jpg,86
01010.jpg,143
01012.jpg,55
01255.jpg,143
01617.jpg,165
01864.jpg,144
01911.jpg,143
02095.jpg,143
02605.jpg,111
02738.jpg,143
02911.jpg,144
02919.jpg,177
03265.jpg,143
03608.jpg,143
03670.jpg,143
03715.jpg,143
03761.jpg,143
03813.jpg,143
03877.jpg,143
03968.jpg,143
04224.jpg,165
04691.jpg,64
04833.jpg,144
05042.jpg,66
05671.jpg,143
05916.jpg,143
06179.jpg,143
06196.jpg,143
06244.jpg,143
06538.jpg,177
06660.jpg,143
06718.jpg,143
07171.jpg,55
07174.jpg,143
07483.jpg,143
07666.jpg,65
07696.jpg,143
07800.jpg,177
07860.jpg,144
08018.jpg,143
00691.jpg,158
01891.jpg,110
02540.jpg,76
02669.jpg,0
03011.jpg,0
03690.jpg,0
03767.jpg,0
03875.jpg,48
04011.jpg,0
04486.jpg,0
05259.jpg,0
06624.jpg,190
06839.jpg,135
07897.jpg,0
00002.jpg,110
00740.jpg,76
01214.jpg,135
01716.jpg,76
01870.jpg,0
02364.jpg,41
02589.jpg,76
02663.jpg,76
03030.jpg,76
03152.jpg,186
03169.jpg,0
03871.jpg,76
03881.jpg,140
04588.jpg,76
04816.jpg,76
05333.jpg,76
05347.jpg,76
05434.jpg,0
05545.jpg,76
05748.jpg,76
05967.jpg,76
06328.jpg,76
06784.jpg,76
06816.jpg,135
06974.jpg,76
07175.jpg,76
07346.jpg,76
07392.jpg,76
00392.jpg,110
00697.jpg,0
00920.jpg,63
01264.jpg,110
02124.jpg,63
02240.jpg,156
02274.jpg,76
02913.jpg,135
03051.jpg,96
03102.jpg,0
03165.jpg,186
03238.jpg,139
03241.jpg,117
03243.jpg,110
03467.jpg,63
03512.jpg,63
03607.jpg,59
03795.jpg,135
04349.jpg,20
04482.jpg,63
04511.jpg,63
05057.jpg,110
05125.jpg,20
05307.jpg,156
05324.jpg,180
05405.jpg,144
05979.jpg,0
06099.jpg,186
06145.jpg,146
06302.jpg,180
06422.jpg,110
06614.jpg,145
07050.jpg,63
07191.jpg,102
07214.jpg,156
07364.jpg,110
07445.jpg,186
07463.jpg,183
07661.jpg,63
07706.jpg,63
07752.jpg,20
07916.jpg,110
00069.jpg,76
00151.jpg,0
00410.jpg,117
00424.jpg,15
00631.jpg,76
00700.jpg,186
00742.jpg,76
01134.jpg,98
01392.jpg,110
01972.jpg,135
02004.jpg,76
02111.jpg,42
02457.jpg,76
02670.jpg,153
02739.jpg,76
02843.jpg,0
02897.jpg,76
03054.jpg,76
03081.jpg,76
03127.jpg,15
03191.jpg,76
03417.jpg,41
03511.jpg,76
03641.jpg,0
03965.jpg,0
04338.jpg,15
04392.jpg,0
04470.jpg,76
04484.jpg,0
04651.jpg,76
05128.jpg,153
06183.jpg,110
06292.jpg,0
06296.jpg,76
06313.jpg,0
06388.jpg,76
06774.jpg,76
06850.jpg,76
07450.jpg,41
08016.jpg,76
08127.jpg,183
00236.jpg,190
00244.jpg,110
00320.jpg,0
00425.jpg,190
00912.jpg,76
01105.jpg,146
01322.jpg,190
01416.jpg,151
01468.jpg,156
01537.jpg,140
01706.jpg,190
01901.jpg,76
02359.jpg,15
02438.jpg,0
02671.jpg,76
03308.jpg,110
